labels,gonzalez_alegre_pilot_09_passive,gonzalez_alegre_pilot_09_active,gonzalez_alegre_pilot_13_passive,gonzalez_alegre_pilot_13_active,gonzalez_alegre_pilot_11_passive,gonzalez_alegre_pilot_11_active,gonzalez_alegre_pilot_08_passive,gonzalez_alegre_pilot_08_active,gonzalez_alegre_pilot_05_passive,gonzalez_alegre_pilot_05_active,gonzalez_alegre_pilot_06_passive,gonzalez_alegre_pilot_06_active,gonzalez_alegre_pilot_10_passive,gonzalez_alegre_pilot_10_active,gonzalez_alegre_pilot_07_passive,gonzalez_alegre_pilot_07_active,gonzalez_alegre_pilot_12_passive,gonzalez_alegre_pilot_12_active
14,0.808465608465608,0.828847481021394,0.834151128557409,0.827067669172932,0.598078462770216,0.608108108108108,0.81687325069972,0.828803245436106,0.925353356890459,0.949693788276465,0.863966284242566,0.831407686866305,0.765705838876571,0.717488789237668,0.721436343852013,0.834065934065934,0.745587602238485,0.910852713178294
15,0.778026905829596,0.786670308658836,0.875953782428602,0.873074419613799,0.553217444342787,0.607456805092452,0.580791530123519,0.583186064125221,0.8866229667395,0.905137395459976,0.794218718415201,0.810458806117415,0.770428015564202,0.667741935483871,0.731650029359953,0.757756902931967,0.490222341280471,0.869541778975741
16,0.924603945532576,0.930715894999738,0.947244925892613,0.951243976792212,0.826929023190443,0.836953751168257,0.875359414481136,0.876580165823193,0.942018131651557,0.94961135388066,0.87889564810482,0.877338494148005,0.928880444983633,0.906018326656536,0.891923397169026,0.914852787981797,0.841940122891881,0.936772521062865
17,0.768629154898979,0.759814733127481,0.797742455655379,0.816154443581493,0.594255874673629,0.5781311090838,0.796007984031936,0.783385198214044,0.883949605654,0.898310168983102,0.805800604229607,0.74701099952176,0.805772994129158,0.706015605336018,0.81079036934325,0.831913054217611,0.576163929486214,0.871747211895911
18,0.739634146341463,0.776873910517141,0.819098457888494,0.820527689185271,0.532336448598131,0.538686131386861,0.743781094527363,0.721854304635762,0.89436099482886,0.888314374353671,0.730769230769231,0.703408266860044,0.842463633549984,0.750904902928595,0.849044585987261,0.844850065189048,0.724229074889868,0.887750349324639
24,0.666666666666667,0.726845045574831,0.691528545119705,0.688700312639571,0.39757748485928,0.438950171167744,0.711566617862372,0.688177874186551,0.871612903225806,0.871041462618348,0.832655826558266,0.759365079365079,0.699228791773779,0.623428193249504,0.684266103484688,0.795767195767196,0.588984088127295,0.847984916332783
26,0.478980891719745,0.491525423728813,0.686998394863563,0.584827586206897,0.047058823529412,0.070921985815603,0.359073359073359,0.228813559322034,0.810098792535675,0.738205365402405,0.420038535645472,0.425612052730697,0.651982378854625,0.594090202177294,0.717299578059072,0.799301919720768,0.208201892744479,0.584450402144772
28,0.777424619878017,0.810948656919415,0.845585128855091,0.797513695743784,0.515577275503971,0.539149347510875,0.816122004357299,0.759388038942976,0.889874492780976,0.923611111111111,0.827294423953135,0.787678767876788,0.834125367730256,0.778545497130812,0.839938383979835,0.882802724871403,0.634737286941823,0.83032694475761
30,0,0,0.307692307692308,0.125,0,0,0.044444444444444,0,0.461538461538462,0.627450980392157,0,0,0.422594142259414,0.33271375464684,0,0,0,0.641509433962264
31,0.453373768006065,0.441843452816386,0.398373983739837,0.468489892984542,0.125541125541126,0.125,0.394736842105263,0.380675203725262,0.774170010944911,0.797400611620795,0.675078864353312,0.584750411409764,0.90783374505024,0.869534612321011,0.462151394422311,0.571895424836601,0.222222222222222,0.654511453950444
41,0.857952968586212,0.869865295238364,0.879694251714126,0.884862393118806,0.672331267697413,0.689163589380964,0.687566717478112,0.667536320736774,0.950907260388727,0.951446651012855,0.823808892270393,0.816822710428187,0.83271240108972,0.769568851851533,0.808925001612175,0.828169729430234,0.722552851305738,0.853609989881131
