,labels,gonzalez_alegre_pilot_09,gonzalez_alegre_pilot_13,gonzalez_alegre_pilot_11,gonzalez_alegre_pilot_08,gonzalez_alegre_pilot_15,gonzalez_alegre_pilot_05,gonzalez_alegre_pilot_06,gonzalez_alegre_pilot_10,gonzalez_alegre_pilot_07,gonzalez_alegre_pilot_12
27,50,0.8010832769126608,0.8174658007461655,0.5240708797240081,0.6874497184231697,0.7717548656908476,1.0,0.7844799478317575,0.8432055749128919,0.8550046772684752,0.8282325937260904
28,51,0.8248355263157894,0.8717899021222986,0.6271895830103861,0.5482254697286012,0.864,1.0,0.8229648671808055,0.885,0.9096108417257243,0.8935086974968179
29,52,0.8486475325211645,0.8269653052261747,0.5491308974813763,0.46698285297336745,0.825099375354912,1.0,0.7473426001635323,0.8214114258281325,0.895085588072888,0.8847139197267293
30,53,0.7871157276256426,0.8051179222763296,0.5505813176533476,0.8406762927310872,0.7105803800719055,1.0,0.8816346872663843,0.7990401919616077,0.8668574699484831,0.8632075471698113
31,54,0.8371268105232043,0.8091872791519434,0.6318700311095748,0.6723646723646723,0.8316443282118339,1.0,0.8219895287958116,0.8040695766327536,0.9047756874095514,0.8676409185803758
32,58,0.6179401993355481,0.7417004048582996,0.4057971014492754,0.14850299401197598,0.7848101265822784,1.0,0.5992509363295881,0.7221095334685599,0.7512690355329948,0.4972577696526509
33,60,0.8395259734473848,0.8076109936575052,0.5503767079555613,0.8353502831131343,0.8158590308370044,1.0,0.8470505121865065,0.7909005186232908,0.8792437757954998,0.8446430990112421
34,62,0.15384615384615388,0.15384615384615388,0.0,0.0,0.0,1.0,0.6153846153846153,0.515129151291513,0.5882352941176471,0.2222222222222222
35,63,0.47361299052774025,0.5168539325842696,0.1282965074839629,0.6298237255836113,0.37752161383285304,1.0,0.7246653919694073,0.0,0.6236766121270453,0.6501865671641791
36,77,0.21281064053202656,0.3136582017844886,0.027027027027027133,0.052044609665427496,0.14657534246575346,1.0,0.33611884865366765,0.13544415127528592,0.5373189070236567,0.5194054500412881
37,85,0.448,0.4011299435028249,0.08450704225352106,0.21579961464354536,0.6959247648902821,1.0,0.2928709055876686,0.4557823129251701,0.736231884057971,0.5827505827505828
38,251,0.8889990089197225,0.86,0.5094905094905094,0.5526456440406199,0.7506053268765133,1.0,0.7058823529411764,0.7740963855421686,0.8834476003917728,0.2576489533011272
