Measure:volume,Mode,,,CortexVol,Difference,,Active,66.6000000000004,50,261.1,9.90000000000146,340.200000000001,112.9,140.300000000001,49.8999999999996
pilot_05,passive_21,,,525498.558228,239.900000000001,,Passive,657.9,72.2999999999993,12.0999999999985,52.6000000000004,304.1,153.7,685.200000000001,369.1
pilot_05,passive_9,,,526105.436978,,,,,,,,,,,
pilot_06,active_12,,,524196.33803,66.6000000000004,,,,,,,,,,
pilot_06,active_24,,,528198.324742,,,,,,,,,,,
pilot_06,passive_21,,,532689.657708,657.9,,,,,,,,,,
pilot_06,passive_9,,,531750.05138,,,,,,,,,,,
pilot_07,active_12,,,533138.338105,50,,,,,,,,,,
pilot_07,active_24,,,533111.903479,,,,,,,,,,,
pilot_07,passive_21,,,427091.495002,72.2999999999993,,,,,,,,,,
pilot_07,passive_9,,,422909.331546,,,,,,,,,,,
pilot_08,active_24,,,417048.146609,,,,,,,,,,,
pilot_08,passive_21,,,415710.184817,852.200000000001,,,,,,,,,,
pilot_08,passive_9,,,441788.113168,,,,,,,,,,,
pilot_09,active_12,,,438303.548357,261.1,,,,,,,,,,
pilot_09,active_24,,,437859.191983,,,,,,,,,,,
pilot_09,passive_21,,,443757.514394,12.0999999999985,,,,,,,,,,
pilot_09,passive_9,,,443277.909934,,,,,,,,,,,
pilot_10,active_12,,,442910.391097,9.90000000000146,,,,,,,,,,
pilot_10,active_24,,,443353.652794,,,,,,,,,,,
pilot_10,passive_21,,,563022.358712,52.6000000000004,,,,,,,,,,
pilot_10,passive_9,,,561571.500121,,,,,,,,,,,
pilot_11,active_12,,,418842.548905,340.200000000001,,,,,,,,,,
pilot_11,active_24,,,418583.286615,,,,,,,,,,,
pilot_11,passive_21,,,419061.518104,304.1,,,,,,,,,,
pilot_11,passive_9,,,422695.798482,,,,,,,,,,,
pilot_12,active_12,,,464796.466533,112.9,,,,,,,,,,
pilot_12,active_24,,,465382.378184,,,,,,,,,,,
pilot_12,passive_21,,,462873.392997,153.7,,,,,,,,,,
pilot_12,passive_9,,,460381.842034,,,,,,,,,,,
pilot_13,active_12,,,463430.542255,140.300000000001,,,,,,,,,,
pilot_13,active_24,,,462666.449055,,,,,,,,,,,
pilot_13,passive_21,,,464779.12364,685.200000000001,,,,,,,,,,
pilot_13,passive_9,,,463344.543923,,,,,,,,,,,
pilot_15,active_12,,,361517.681603,49.8999999999996,,,,,,,,,,
pilot_15,active_24,,,377955.007962,,,,,,,,,,,
pilot_15,passive_21,,,379100.414839,369.1,,,,,,,,,,
pilot_15,passive_9,,,358586.579545,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Measure:volume,Mode,Left-Accumbens-area,Right-Accumbens-area,Accumbens,Difference,,Active,42.8000000000001,50,124.3,81.1,84.3000000000001,108.7,86.0000000000001,20.8
pilot_05,passive_21,361.3,552.3,913.6,213.9,,Passive,154,42.9,178.2,59.2,46.6999999999999,81.3,23.6,62.9
pilot_05,passive_9,505.2,622.3,1127.5,,,,,,,,,,,
pilot_06,active_12,405,531.9,936.9,42.8000000000001,,,,,,,,,,
pilot_06,active_24,428.8,550.9,979.7,,,,,,,,,,,
pilot_06,passive_21,461.8,627.5,1089.3,154,,,,,,,,,,
pilot_06,passive_9,308.6,626.7,935.3,,,,,,,,,,,
pilot_07,active_12,321.5,601,922.5,50,,,,,,,,,,
pilot_07,active_24,338.1,639.1,977.2,,,,,,,,,,,
pilot_07,passive_21,431.4,554.3,985.7,42.9,,,,,,,,,,
pilot_07,passive_9,429.3,513.5,942.8,,,,,,,,,,,
pilot_08,active_24,437.7,547.5,985.2,,,,,,,,,,,
pilot_08,passive_21,322.3,418.4,740.7,158.3,,,,,,,,,,
pilot_08,passive_9,216.5,365.9,582.4,,,,,,,,,,,
pilot_09,active_12,302,463.9,765.9,124.3,,,,,,,,,,
pilot_09,active_24,255.3,386.3,641.6,,,,,,,,,,,
pilot_09,passive_21,409.7,582.4,992.1,178.2,,,,,,,,,,
pilot_09,passive_9,267.5,546.4,813.9,,,,,,,,,,,
pilot_10,active_12,252.8,547.2,800,81.1,,,,,,,,,,
pilot_10,active_24,278.6,602.5,881.1,,,,,,,,,,,
pilot_10,passive_21,486.6,804.3,1290.9,59.2,,,,,,,,,,
pilot_10,passive_9,445.2,786.5,1231.7,,,,,,,,,,,
pilot_11,active_12,314.1,333,647.1,84.3000000000001,,,,,,,,,,
pilot_11,active_24,210.1,352.7,562.8,,,,,,,,,,,
pilot_11,passive_21,231,413.9,644.9,46.6999999999999,,,,,,,,,,
pilot_11,passive_9,278.8,319.4,598.2,,,,,,,,,,,
pilot_12,active_12,300.3,441.9,742.2,108.7,,,,,,,,,,
pilot_12,active_24,362.9,488,850.9,,,,,,,,,,,
pilot_12,passive_21,375.9,527.6,903.5,81.3,,,,,,,,,,
pilot_12,passive_9,325.1,497.1,822.2,,,,,,,,,,,
pilot_13,active_12,299.3,489.6,788.9,86.0000000000001,,,,,,,,,,
pilot_13,active_24,266.7,436.2,702.9,,,,,,,,,,,
pilot_13,passive_21,361.4,444.5,805.9,23.6,,,,,,,,,,
pilot_13,passive_9,343.5,486,829.5,,,,,,,,,,,
pilot_15,active_12,176,259.5,435.5,20.8,,,,,,,,,,
pilot_15,active_24,172.3,242.4,414.7,,,,,,,,,,,
pilot_15,passive_21,140,272.3,412.3,62.9,,,,,,,,,,
pilot_15,passive_9,152.4,197,349.4,,,,,,,,,,,
